user_id,eobt,eldt,departure_airport,arrival_airport,route,remarks,callsign,aircraft,registration,departure_stand,arrival_stand,departure_rwy,arrival_rwy
,2020-10-10 03:50,2020-10-10 15:35,RKSI,EDDF,NOPIK G597 ANSIM Y697 NOGON DCT CHG A575 ASILA B339 POLHO A310 SERNA A815 TANAK B718 BARIK G490 PTG R809 TARSA G719 LAGNI B946 BILMI G375 LKN G722 KUMEN A714 KOMEK DCT KOLJA N746 GORPI Z80 TILAV L87 PESEL DCT KOSIX DCT NIMAB T171 LASTO T178 KERAX,,KAL905,B748,HL7643,,D4,,
,2020-10-10 12:50,2020-10-10 15:00,LIRF,EDDF,SOVAN L995 AMTEL M738 OMAKU T558 LUMAV M726 ERNAS T161 SPESA,,DLH9VT,A20N,DAINC,,V144,,
,2020-10-10 11:45,2020-10-10 15:39,LTAI,EDDF,,,SXS1,B738,TCSOA,,V111,,
,2020-10-10 14:45,2020-10-10 15:41,EDDT,EDDF,BRANE Z115 UBIGI M736 MAG Z20 ORTAG/F220 T177 ODIPI T157 KERAX,,DLH193,A321,DAIRN,,A18,,
,2020-10-10 06:00,2020-10-10 15:44,ZBAA,EDDF,IDKEX B339 POLHO A310 MODUN Y520 SERNA A822 LONKA R497 KUMOD N869 LITUN T580 LIKNU R815 BIKRO N869 TU L29 LAFAT DCT VABER L29 SUW L735 GOVEN DCT TADUV T178 KERAX,,CCA931,B77W,B1430,,B26,,
,2020-10-10 15:00,2020-10-10 15:47,EDDM,EDDF,GIVMI Y101 ERNAS T161 SPESA,,DLH5HV,A20N,DAINJ,,A16,,
,2020-10-10 13:45,2020-10-10 15:49,EVRA,EDDF,VALED M869 LEP M864 NINTA DCT KOLJA DCT GORPI Z80 TILAV L87 PESEL DCT KOSIX DCT NIMAB T171 LASTO T178 KERAX,,BTI6JK,B735,YLBBD,,V117,,
,2020-10-10 14:05,2020-10-10 15:50,EGCC,EDDF,LISTO L612 HON L15 BIG UL9 KONAN UL607 SPI T180 UNOKO,,DLH939,A320,DAIWI,,B24,,
,2020-10-10 11:00,2020-10-10 15:50,HEMA,EDDF,,,HES7829,A321,TCOBY,,V113,,
,2020-10-10 11:00,2020-10-10 15:53,HEGN,EDDF,HGD V608 AST P751 KUNKI L321 KATAB B12 DBA M872 METRU UM872 PLH UB1 DDM UM619 YNN UL604 DIMIS DCT RETRA DCT GAC DCT TEBLI DCT VANAX DCT SIMBA Y700 NENUM T161 SPESA,,HES6829,A321,LZHEA,,V116,,
,2020-10-10 14:05,2020-10-10 15:56,ENGM,EDDF,VIPPA P615 ALS M852 ALASA DCT RIMET T157 KERAX,,DLH6LY,A20N,DAINB,,B20,,
