"user_id","eobt","eldt","departure_airport","arrival_airport","route","remarks","callsign","aircraft","registration","departure_stand","arrival_stand","departure_rwy","arrival_rwy"
,"2020-10-10 18:30","2020-10-10 04:24","EDDF","RKSI",,,"KAL538","B748","HL7617",,,,
,"2020-10-10 18:45","2020-10-10 05:02","EDDF","FAOR",,,"SAA261","A346","ZSSNF",,,,
,"2020-10-10 18:30","2020-10-10 19:51","EDDF","EDDH",,,"DLH2VH","A321","DAISU",,,,
,"2020-10-10 18:35","2020-10-10 20:58","EDDF","LROP",,,"DLH1KJ","A320","DAIUD",,,,
,"2020-10-10 18:35","2020-10-10 21:17","EDDF","LGAV",,,"DLH5MR","A321","DAIRU",,,,
,"2020-10-10 18:55","2020-10-10 20:51","EDDF","EYVI",,,"DLH888","A20N","DAINB",,,,
,"2020-10-10 18:55","2020-10-10 20:12","EDDF","EPPO",,,"DLH2PM","CRJ9","DACNH",,,,
,"2020-10-10 18:45","2020-10-10 21:15","EDDF","LMML",,,"DLH3UY","A320","DAIUF",,,,
,"2020-10-10 18:45","2020-10-10 20:12","EDDF","LDZA",,,"CTN415","A319","9ACTL",,,,
,"2020-10-10 18:45","2020-10-10 05:49","EDDF","RJTT",,,"ANA224","B77W","JA790A",,,,
,"2020-10-10 18:35","2020-10-10 20:35","EDDF","LYBE",,,"ASL54W","A320","YUAPG",,,,
,"2020-10-10 18:40","2020-10-10 20:29","EDDF","EPWA",,,"DLH7TJ","A320","DAIZY",,,,
,"2020-10-10 18:40","2020-10-10 04:58","EDDF","VTBS",,,"THA923","A359","HSTHM",,,,
,"2020-10-10 18:55","2020-10-10 20:55","EDDF","LATI",,,"DLH1454","E190","DAECF",,,,
,"2020-10-10 18:50","2020-10-10 20:00","EDDF","LSZH",,,"SWR150Y","A320","HBJLP",,,,
,"2020-10-10 18:50","2020-10-10 21:17","EDDF","LEBB",,,"DLH26A","A321","DAIRS",,,,
,"2020-10-10 18:50","2020-10-10 21:16","EDDF","EIDW",,,"EIN65T","A320","EIDEI",,,,
,"2020-10-10 18:50","2020-10-10 20:38","EDDF","LFLL",,,"DLH52K","A320","DAIQU",,,,
,"2020-10-10 18:50","2020-10-10 21:56","EDDF","LMML",,,"AMC329","A20N","9HNEC",,,,
