user_id,eobt,eldt,departure_airport,arrival_airport,route,remarks,callsign,aircraft,registration,departure_stand,arrival_stand,departure_rwy,arrival_rwy
,2020-10-10 15:20,2020-10-10 16:31,EDDF,LFPG,SOBRA Y180 DIK UN857 RAPOR UZ157 VEDUS,,DLH81J,A21N,DAIEB,,,,
,2020-10-10 15:10,2020-10-10 23:19,EDDF,KJFK,MARUN Y152 ARPEG Z850 ABILU RKN SPY RAVLO Y70 OTBED L60 PENIL M144 BAGSO DOGAL NATA NEEKO ALLEX PLYMM PARCH3,,DLH404,B748,DABYM,,,,
,2020-10-10 15:25,2020-10-10 02:12,EDDF,KSFO,MARUN Y150 TOLGI DCT DLE DCT AGATI P605 SUBIG L619 ELSOB P992 BAVTA M609 RERPA P614 ZOL P610 GUNPA DCT 65N050W DCT 70N010W DCT 75N020W DCT 78N040W DCT 78N060W DCT DOGGY DCT 70N095W DCT 65N104W DCT 60N112W DCT 55N116W DCT YNY DCT TWISP DCT RBL DCT MRRLO,,UAL927,B772,N218UA,,,,
,2020-10-10 15:10,2020-10-10 16:36,EDDF,LFPG,SOBRA Y180 DIK UN857 RAPOR UZ157 VEDUS,,AFR131N,E190,FHBLM,,,,
,2020-10-10 15:35,2020-10-10 16:46,EDDF,LDRI,CINDY Z74 LAMPU Z54 NOMBO Y161 MAH OTT M867 VAROB VEKEN URAVA GIRDA,,CFG8HT,A320,DAICH,,,,
,2020-10-10 15:15,2020-10-10 16:19,EDDF,EDDV,MARUN Y153 WRB,,DLH4LR,A321,DAIDJ,,,,
,2020-10-10 15:15,2020-10-10 23:54,EDDF,KORD,MARUN Y152 ARPEG Z850 ABILU RKN SPY RAVLO Y70 OTBED L60 PENIL M144 BAGSO DOGAL NATA NEEKO N482A YRI YXI Q901 UDMUG OBSTR WYNDE1,,DLH432,B748,DABYU,,,,
,2020-10-10 15:45,2020-10-10 23:05,EDDF,VABB,SULUS UZ650 VEMUT DCT ABUDO Z205 BUDEX DCT MAREG DCT ALAMU DCT AMLAV M977 ADINA L851 KUGOS UL851 TBN UP146 SIBVU UL125 KEBUD G208 PG G210 DOSTI J218 KAJAL M638 KC A791 DANGI G210 TELEM N893 VASLA G210 BVR W13S IPNIB W16S BOFIN,,GEC8360,MD11,DALCK,,,,
,2020-10-10 15:30,2020-10-10 17:33,EDDF,LEBL,ANEKI Y163 HERBI Y164 OLBEN UN869 NEMOS DCT GVA DCT BALSI UN852 DIVKO UN975 BISBA,,DLH88P,A321,DAIDH,,,,
,2020-10-10 15:00,2020-10-10 16:35,EDDF,EDDP,SULUS Z12 LASGA T953 VOCIM T954 GOXLI,,DLH3HJ,RJ85,EIRJO,,,,
,2020-10-10 15:40,2020-10-10 16:36,EDDF,LSGG,ANEKI Y163 HERBI Y164 OLBEN UN869 BENOT,,DLH9CK,CRJ9,DACND,,,,
,2020-10-10 15:25,2020-10-10 22:44,EDDF,CYHZ,MARUN Y152 ARPEG Z850 ABILU RKN SPY RAVLO Y70 OTBED L60 PENIL M144 BAGSO DOGAL NATA NEEKO BX YGR CAYLY CABOT4,,CFG414,B763,DABUM,,,,
,2020-10-10 15:30,2020-10-10 16:21,EDDF,ELLX,ULKIG Y180 BITBU Z110 BETEX,,DLH396,A319,DAIBH,,,,
,2020-10-10 15:25,2020-10-10 16:42,EDDF,EHAM,MARUN Y152 ARPEG Z850 HMM L602 RKN,,DLH3KY,A320,DAIUB,,,,
,2020-10-10 15:30,2020-10-10 00:19,EDDF,ZBAA,TOBAK N858 ERSIL Y172 MAG DCT BODLA L733 RANOK R239 OTVOV DCT ROLAV L72 LATLA A831 LUKIR P983 INRIM A952 SUNAD G814 SADER T580 LITUN G713 POGUT R372 UTEKI A908 PIMIT A822 SERNA Y520 MODUN A310 POLHO W33 NUVPU W52 URGOM W54 VAGNU W49 OSUBA,,DLH720,B748,DABYD,,,,
,2020-10-10 15:25,2020-10-10 16:41,EDDF,EBBR,SOBRA Y180 BITBU Y181 GOPAS N852 LNO,,DLH1UT,A20N,DAINR,,,,
,2020-10-10 15:35,2020-10-10 17:40,EDDF,ESSA,MARUN Y150 TOLGI DCT OKAGA Z330 VIBAR Z227 NILUG,,SAS638,A20N,SERON,,,,
,2020-10-10 15:35,2020-10-10 21:11,EDDF,OTHH,SULUS UZ650 VEMUT DCT ABUDO Z205 BUDEX DCT PESAT DCT TEGRI DCT ARTAT UP975 ERGUN UL124 EVSAS/F330 UM688 ULDUR UP975 LONOS Y604 KOBOK L703 RASDI N318 VELAM Z225 BAYAN,,QTR068,A388,A7APE,,,,
,2020-10-10 15:35,2020-10-10 17:58,EDDF,EIDW,OBOKA Z29 TORNU DCT BREDA DCT RAVLO Y70 OTBED L60 PENIL UL28 LELDO M145 BAGSO,,RYR31XY,B738,EIGXG,,,,
,2020-10-10 15:30,2020-10-10 16:33,EDDF,EDDG,MARUN Y152 ARPEG Z850 HMM,,DLH066,A319,DAILH,,,,
,2020-10-10 15:35,2020-10-10 17:12,EDDF,LIRF,ANEKI Y163 NATOR N850 TRA UP131 RESIA T415 LISKO M730 ANC L865 RITEB,,DLH2HY,A319,DAILM,,,,
,2020-10-10 15:30,2020-10-10 17:20,EDDF,ESGG,MARUN Y150 TOLGI DCT ELKIM DCT MAKEL N851 GESKA Z706 NOVPO L997 RISMA,,DLH1KE,A20N,DAINK,,,,
,2020-10-10 15:20,2020-10-10 17:30,EDDF,EGLL,SOBRA Y180 BITBU Y181 DEMUL M624 BUB L608 COA L179 SASKI L608 LOGAN,,BAW909U,A20N,GTTNH,,,,
,2020-10-10 15:45,2020-10-10 18:16,EDDF,LEMD,SOBRA Y180 DIK UN857 NOLSA UN10 GARVU UN857 BANEV,,DLH47Y,A321,DAIRR,,,,
,2020-10-10 15:50,2020-10-10 17:19,EDDF,LOWW,CINDY Z74 LAMPU Z54 NOMBO Y161 RIDAR UZ98 MIQ UL605 BIBAG Q104 AKIMA DCT MASUR,,AUA132,A320,OELXC,,,,
,2020-10-10 15:45,2020-10-10 17:22,EDDF,LHBP,SULUS UZ650 VEMUT DCT ABUDO Z205 BUDEX DCT MAREG DCT ANEXA,,WZZ9SZ,A21N,HALVC,,,,
,2020-10-10 15:50,2020-10-10 23:49,EDDF,KBOS,MARUN Y152 ARPEG Z850 ABILU RKN SPY RAVLO Y70 OTBED L60 PENIL M144 BAGSO DOGAL NATA NEEKO N478A TOPPS AJJAY OOSHN5,,DLH420,A333,DAIKP,,,,
,2020-10-10 15:55,2020-10-10 17:00,EDDF,LIMC,ANEKI Y163 NATOR N850 DEGAD Z424 AKASU/F190 Z424 RIXUV,,DLH7MU,A319,DAIBI,,,,
,2020-10-10 16:00,2020-10-10 18:32,EDDF,LGAV,CINDY Z74 LAMPU DCT NOMBO Y161 MAH L173 OTT M867 VAROB DCT PETAK DCT PINDO UL607 XORKI,,AEE3FT,A321,SXDGA,,,,
,2020-10-10 15:50,2020-10-10 01:22,EDDF,ZYTX,TOBAK N858 ERSIL Y172 MAG BODLA Z717 KUNER B810 RONUN L134 GARSO TITOV M994 PIRUS T635 NASBI P989 KERIS N742 KTL N740 SONIB R813 URAMI R117 DUBES R121 SEVIK G490 OMITA A920 KTN A91 AGINO A810 TELOK A345 KYU,,DLH782,A343,DAIGZ,,,,
,2020-10-10 15:45,2020-10-10 18:35,EDDF,LTFJ,CINDY Z74 LAMPU Z54 NOMBO Y161 RIDAR UZ98 MIQ UL605 ESEGA VELOM GOTAR BABIT NISVA N131 RODIP UN131 DUGLA UY371 IZMAL,,PGT1RN,B738,TCAZP,,,,
,2020-10-10 16:05,2020-10-10 03:40,EDDF,MMMX,MARUN Y152 ARPEG Z850 ABILU RKN SPY RAVLO Y70 OTBED L60 PENIL M144 BAGSO DOGAL NATA NEEKO N480A TAFFY COVAN J563 LAMED FQM BKW VXV J22 MCB ANKRR M575 CATFS ANILO MEX,,GEC8220,B77L,DALFE,,,,
,2020-10-10 15:45,2020-10-10 17:06,EDDF,EHRD,MARUN Y152 ARPEG Z850 HMM L602 RKN,,NJE064C,E55P,CSPHL,,,,
,2020-10-10 15:40,2020-10-10 17:11,EDDF,EDDH,MARUN Y150 TOLGI DCT DLE P605 NOLGO,,DLH4KA,A321,DAIRF,,,,
,2020-10-10 16:00,2020-10-10 19:58,EDDF,LLBG,CINDY Z74 LAMPU DCT NOMBO Y161 MAH L173 OTT M867 VAROB DCT NEMEK DCT MEDUX UM867 KOGAT DCT ERANA UL737 TSL UN130 MES UL609 ALKIS L609 ZUKKO,,DLH690,A321,DAIDL,,,,
,2020-10-10 16:05,2020-10-10 17:11,EDDF,EDDT,TOBAK N858 SWALM T201 TAMEB T278 RUDAK,,DLH5CL,A321,DAISB,,,,
,2020-10-10 16:15,2020-10-10 17:13,EDDF,EDDT,TOBAK N858 SWALM T201 TAMEB T278 RUDAK,,DLH6RP,A320,DAIZG,,,,
,2020-10-10 16:15,2020-10-10 17:16,EDDF,EHAM,MARUN Y152 ARPEG Z850 HMM L602 RKN,,KLM1770,E75L,PHEXH,,,,
,2020-10-10 16:15,2020-10-10 17:46,EDDF,LIRF,ANEKI Y163 NATOR N850 TRA UP131 RESIA T415 LISKO M730 ANC L865 RITEB,,AZA3ZU,A320,EIDTF,,,,
,2020-10-10 16:25,2020-10-10 17:01,EDDF,LSZH,ANEKI Y163 NEKLO Y171 INKAM T725 LAMGO T721 RILAX,,DLH9VX,A320,DAIQW,,,,
,2020-10-10 16:10,2020-10-10 02:08,EDDF,RKSI,TOBAK N858 ERSIL Y172 MAG Z20 ESIKA DCT GILAS M994 DENKO N858 VTB N869 BD P865 GINOM A308 BULAG A575 UDA Y345 POLHO W33 UKDUM DCT UNSEK A326 DONVO G597 AGAVO Y644 REBIT,,DLH712,B744,DABVR,,,,
,2020-10-10 16:20,2020-10-10 02:34,EDDF,ZSNJ,TOBAK N858 DENKO M994 GOMED R801 RUSNE L97 LATLA A831 LUKIR P983 INRIM A952 OSBAK A952 BEKAM R496 LERTA G814 SADER T580 ADMUR G117 XV R229 BA R104 ABK R104 GINOM A308 HATGA A308 BULAG A308 LIMAR V674 NIXAL B208 TYN B208 HFE,,DLH780,A343,DAIFD,,,,
,2020-10-10 16:30,2020-10-10 02:31,EDDF,RKSI,TOBAK N858 ERSIL Y172 MAG Z20 ESIKA DCT GILAS M994 DENKO N858 VTB N869 BD P865 GINOM A308 BULAG A575 UDA Y345 POLHO W33 UKDUM DCT UNSEK A326 DONVO G597 AGAVO Y644 REBIT,,AAR542,A388,HL7626,,,,
,2020-10-10 16:00,2020-10-10 18:08,EDDF,EGLL,SOBRA Y180 BITBU Y181 DEMUL M624 BUB L608 COA L179 SASKI L608 LOGAN,,DLH6HT,A20N,DAINC,,,,
,2020-10-10 16:30,2020-10-10 17:25,EDDF,EDDM,CINDY Z74 HAREM T104 ANORA,,DLH8LL,A321,DAISR,,,,
,2020-10-10 16:05,2020-10-10 18:04,EDDF,EGLC,SOBRA Y180 BITBU Y181 DEMUL M624 BUB L608 SUMUM,,CFE7GY,E170,GLCYH,,,,
,2020-10-10 16:15,2020-10-10 17:33,EDDF,EDDM,CINDY Z74 HAREM T104 ANORA,,NJE289W,C56X,CSDXX,,,,
